Artículo;Cantidad;Final;Costo;Neto;Margen;;;
aderezos (12);;;;;;;;
;Chimichurri picante vanoli 190g;;;1,00 ;130,00 ;70,00 ;107,44 ;53,48 
;Danica ketchup 220g;;;4,00 ;480,00 ;252,00 ;396,69 ;57,42 
;dos ancas chimichurri 380gr;;;1,00 ;340,00 ;173,00 ;280,99 ;62,42 
;Ketchup Hellmanns x 250;;;15,00 ;2.870,00 ;1.446,00 ;2.371,90 ;64,03 
;Ketchup Natura 250g;;;7,00 ;1.500,00 ;679,00 ;1.239,67 ;82,57 
;mayonesa BC 250cm;;;10,00 ;1.530,00 ;680,00 ;1.264,46 ;85,95 
;Mayonesa DFiesta 250g;;;5,00 ;450,00 ;224,00 ;371,90 ;66,03 
;mayonesa fiesta 95g;;;15,00 ;750,00 ;390,00 ;619,83 ;58,93 
;Mayonesa Hellmanns 118g;;;9,00 ;1.170,00 ;639,00 ;966,94 ;51,32 
;Mayonesa Hellmanns Light x 250;;;4,00 ;760,00 ;408,00 ;628,10 ;53,95 
;Mayonesa Hellmanns x 237g;;;36,00 ;6.880,00 ;2.933,00 ;5.685,95 ;93,86 
;Mayonesa Natura 250cm;;;97,00 ;18.930,00 ;8.647,00 ;15.644,63 ;80,93 
;Mayonesa Natura 500cm;;;1,00 ;250,00 ;140,00 ;206,61 ;47,58 
;Minerva 250 ml;;;5,00 ;660,00 ;350,00 ;545,45 ;55,84 
;Mostaza Danica 220g;;;5,00 ;400,00 ;210,60 ;330,58 ;56,97 
;Natura mayonesa 125 cm3;;;14,00 ;2.320,00 ;1.148,80 ;1.917,36 ;66,90 
;sabor en polvo alicante albahaca y ajo;;;1,00 ;20,00 ;10,98 ;16,53 ;50,54 
;Salsa Aji picante Vanoli 350g;;;2,00 ;430,00 ;226,00 ;355,37 ;57,24 
;Salsa golf 125g;;;12,00 ;1.080,00 ;527,76 ;892,56 ;69,12 
;Savora Original x 250 g;;;18,00 ;2.130,00 ;1.062,00 ;1.760,33 ;65,76 
;tau mayonesa con ajo 300g;;;4,00 ;1.200,00 ;628,00 ;991,74 ;57,92 
Total Rubro aderezos;266,00 ;44.280,00 ;20.845,14 ;36.595,04 ;75,56 ;;;
agua mineral (21);;;;;;;;
;Agua mineral nestlé 500 ml;;;26,00 ;2.680,00 ;810,00 ;2.386,69 ;194,65 
;agua nuestra bajo sodio 1.5L;;;4,00 ;440,00 ;240,00 ;363,64 ;51,52 
;agua nuestra minerizada 500ml;;;23,00 ;1.610,00 ;802,47 ;1.330,58 ;65,81 
;agua sierra de los padres 2L;;;25,00 ;3.360,00 ;1.670,00 ;2.776,86 ;66,28 
;Agua sierra de los padres 600ml;;;53,00 ;3.590,00 ;1.811,71 ;2.966,94 ;63,76 
;agua social  2,25;;;46,00 ;3.680,00 ;1.610,00 ;3.041,32 ;88,90 
;Agua trechel 5L;;;7,00 ;1.400,00 ;756,00 ;1.157,03 ;53,05 
;bidon de agua mineral cerro characato  5Lts;;;5,00 ;900,00 ;465,00 ;743,80 ;59,96 
;eco de los andes 1.5 lts;;;3,00 ;370,00 ;70,00 ;347,44 ;396,34 
;Eco de los Andes 1.5l;;;5,00 ;400,00 ;225,00 ;330,58 ;46,92 
;Eco de los Andes sin gas 850ml;;;18,00 ;1.590,00 ;414,00 ;1.314,05 ;217,40 
;Gatorade Naranja 1250cc;;;21,00 ;5.490,00 ;2.835,00 ;4.537,19 ;60,04 
;soda social tapa rosca x 2.25lts;;;105,00 ;9.040,00 ;3.439,00 ;7.471,07 ;117,25 
;Soda Trechel sifon 2 L;;;1,00 ;120,00 ;50,96 ;99,17 ;94,61 
Total Rubro agua mineral;342,00 ;34.670,00 ;15.199,14 ;28.866,36 ;89,92 ;;;
aguas saborizadas (20);;;;;;;;
;agua tonica mag na 1.5l;;;5,00 ;900,00 ;390,00 ;743,80 ;90,72 
;agua tonica mag na 2.25l;;;4,00 ;840,00 ;384,00 ;694,21 ;80,79 
;agua tonica magna 2.25l;;;9,00 ;2.070,00 ;864,00 ;1.710,74 ;98,00 
;Aquarius Pera 1500cc;;;4,00 ;760,00 ;352,00 ;628,10 ;78,44 
;baggio fresh 1.5l manzana;;;21,00 ;2.640,00 ;1.305,00 ;2.181,82 ;67,19 
;Baggio fresh liviana LIMONE;;;6,00 ;480,00 ;264,00 ;396,69 ;50,26 
;Baggio fresh liviano naranja dulce;;;17,00 ;1.785,00 ;512,72 ;1.475,21 ;187,72 
;Baggio fresh liviano pomelo;;;23,00 ;2.760,00 ;1.422,32 ;2.280,99 ;60,37 
;Baggio fresh naranja dulce 600ml;;;22,00 ;1.800,00 ;898,00 ;1.487,60 ;65,66 
;Baggio fresh pera 1.5l;;;6,00 ;720,00 ;390,00 ;595,04 ;52,57 
;Brio Manzana 1.5l;;;74,00 ;7.430,00 ;2.078,66 ;6.140,49 ;195,41 
;Brio Naranja 1.5L;;;50,00 ;5.020,00 ;2.000,00 ;4.148,76 ;107,44 
;Brio Pomelo 1.5;;;93,00 ;9.350,00 ;3.720,00 ;7.727,27 ;107,72 
;gatorade berry sin azucar 500ml;;;9,00 ;1.130,00 ;594,00 ;933,88 ;57,22 
;gatorade sin azucar naranja 500ml;;;13,00 ;1.650,00 ;819,00 ;1.363,64 ;66,50 
;levite fizz sabor pomelo  2.25l;;;6,00 ;1.140,00 ;588,00 ;942,15 ;60,23 
;levite pera zero 500cc;;;54,00 ;4.950,00 ;2.052,00 ;4.090,91 ;99,36 
;Levite Pomelo 500ml;;;96,00 ;9.660,00 ;3.648,00 ;7.983,47 ;118,85 
Total Rubro aguas saborizadas;512,00 ;55.085,00 ;22.281,70 ;45.524,79 ;104,31 ;;;
alfajores (5);;;;;;;;
;.;;;6,00 ;580,00 ;240,00 ;479,34 ;99,72 
;Alfajor aguila minitorta brownie;;;12,00 ;960,00 ;528,84 ;793,39 ;50,02 
;Alfajor Aguila Minitorta Clasica;;;87,00 ;10.590,00 ;2.442,09 ;8.752,07 ;258,38 
;Alfajor B&N triple blanco  BAGLEY;;;14,00 ;1.760,00 ;588,00 ;1.454,55 ;147,37 
;Alfajor B&N TRIPLE Negro BAGLEY;;;11,00 ;1.270,00 ;462,00 ;1.049,59 ;127,18 
;Alfajor Block x 60 g;;;34,00 ;4.100,00 ;2.172,00 ;3.388,43 ;56,01 
;Alfajor bon o bon simple blanco 40g;;;11,00 ;880,00 ;447,81 ;727,27 ;62,41 
;Alfajor bon o bon simple negro x 40g;;;35,00 ;3.220,00 ;1.424,50 ;2.661,16 ;86,81 
;Alfajor bon o bon x 3;;;82,00 ;10.200,00 ;4.292,14 ;8.429,75 ;96,40 
;Alfajor Fantoche Triple Blanco;;;202,00 ;18.700,00 ;8.276,00 ;15.454,55 ;86,74 
;Alfajor Fantoche Triple Chocolate;;;312,00 ;29.280,00 ;13.138,00 ;24.198,35 ;84,19 
;Alfajor Fantoche triple night x85g;;;37,00 ;3.820,00 ;1.972,10 ;3.157,02 ;60,08 
;alfajor jorgito negro 50g;;;1,00 ;65,00 ;34,20 ;53,72 ;57,07 
;Alfajor Manon Simple 43g;;;12,00 ;490,00 ;184,00 ;404,96 ;120,09 
;Alfajor Milka Dulce de Leche;;;39,00 ;5.610,00 ;2.057,97 ;4.636,36 ;125,29 
;Alfajor Milka Torta Oreo;;;37,00 ;5.110,00 ;1.961,00 ;4.223,14 ;115,36 
;Alfajor minitorta aguila coco;;;38,00 ;5.140,00 ;1.166,66 ;4.247,93 ;264,11 
;Alfajor Minitorta Chocolate Blanco Aguila;;;6,00 ;600,00 ;52,80 ;495,87 ;839,14 
;alfajor oreo trilogia;;;62,00 ;8.810,00 ;2.790,00 ;7.280,99 ;160,97 
;Alfajor Pepitos x 3;;;41,00 ;6.010,00 ;1.694,12 ;4.966,94 ;193,19 
;alfajor premio arrabbiato negro;;;17,00 ;1.870,00 ;925,99 ;1.545,45 ;66,90 
;Alfajor Santafesino;;;40,00 ;200,00 ;116,00 ;165,29 ;42,49 
;Alfajor santafesino arocense 40g;;;28,00 ;2.650,00 ;1.328,04 ;2.190,08 ;64,91 
;Alfajor santafesino aronse 40g;;;28,00 ;2.230,00 ;964,04 ;1.842,98 ;91,17 
;Alfajor Ser Dulce de Leche 47g;;;27,00 ;2.840,00 ;837,00 ;2.347,11 ;180,42 
;ALFAJOR SIN CULPA FRUTILLA;;;2,00 ;140,00 ;76,00 ;115,70 ;52,24 
;Alfajor Sin Culpa Frutilla 35g;;;6,00 ;500,00 ;179,70 ;413,22 ;129,95 
;ALFAJOR SIN CULPA LIMON;;;4,00 ;280,00 ;152,00 ;231,40 ;52,24 
;alfajor sin culpa maicena 70g;;;61,00 ;7.200,00 ;3.012,18 ;5.950,41 ;97,55 
